Order Date,Requested Delivery Date,Customer Country Code,Product Code,Description,Order type,Customer Order Code,Value,Currency,Items,Route
09.02.2011,27.12.2009,ES,P5677,Parka C,VO,ORD955499,78.05,EUR,32,R98
06.03.2010,16.02.2011,CN,P3661,Parka C,VO,ORD818804,247.07,EUR,45,R84
09.01.2009,11.11.2009,DE,P6883,Parka B,VO,ORD791728,321.28,USD,8,R58
27.01.2010,07.11.2010,FR,P7410,Parka B,VO,ORD551186,361.5,RUB,18,R76
20.05.2010,19.10.2010,DE,P8235,Parka D,VO,ORD326008,91.2,RUB,9,R84
18.04.2009,24.09.2011,ES,P1687,Parka C,VO,ORD522783,482.98,EUR,30,R29
21.06.2011,21.04.2009,ES,P5540,Parka D,VO,ORD583276,441.82,EUR,17,R62
30.08.2010,24.08.2009,ES,P8680,Parka C,VO,ORD585704,139.94,RUB,47,R63
07.05.2009,30.07.2009,CN,P2641,Parka A,VO,ORD403451,219.32,RUB,28,R34
10.09.2010,29.04.2011,FR,P8226,Parka C,VO,ORD244193,419.3,RUB,20,R78
10.10.2010,12.05.2009,IT,P5017,Parka C,VO,ORD255901,238.65,EUR,28,R23
10.01.2009,30.11.2010,US,P8002,Parka B,VO,ORD914774,103.84,USD,44,R97
29.09.2011,19.09.2011,IT,P9448,Parka B,VO,ORD276226,253.44,USD,5,R31
19.10.2010,21.09.2010,FR,P9100,Parka B,VO,ORD350816,426.08,RUB,25,R71
07.02.2009,03.11.2010,CN,P3639,Parka D,VO,ORD280627,376.44,EUR,13,R15
31.08.2010,14.01.2010,ES,P1228,Parka A,VO,ORD922019,436.42,EUR,20,R1
25.02.2009,23.02.2010,FR,P2378,Parka A,VO,ORD594678,386.89,EUR,24,R68
24.02.2010,10.06.2009,US,P7629,Parka D,VO,ORD288676,364.51,RUB,29,R13
18.10.2011,20.02.2010,RU,P1909,Parka D,VO,ORD638219,496.35,USD,19,R18
17.11.2010,04.06.2010,UK,P8936,Parka C,VO,ORD799270,56.83,EUR,28,R59
18.12.2010,18.08.2011,FR,P4697,Parka B,VO,ORD124089,137.1,RUB,3,R1
13.06.2011,16.04.2009,UK,P3164,Parka A,VO,ORD906987,165.18,USD,17,R14
18.01.2010,12.11.2011,US,P5840,Parka B,VO,ORD699583,374.46,USD,40,R77
25.11.2009,16.02.2011,CN,P8091,Parka D,VO,ORD134311,428.16,USD,41,R35
25.10.2009,06.03.2010,FR,P9731,Parka A,VO,ORD794931,100.18,RUB,17,R6
29.05.2011,06.08.2009,IT,P9670,Parka C,VO,ORD542955,118.15,EUR,36,R33
07.04.2010,02.01.2011,FR,P5125,Parka D,VO,ORD276764,217.13,RUB,27,R20
30.10.2010,19.12.2010,US,P9028,Parka B,VO,ORD717225,416.47,USD,44,R54
27.01.2010,03.02.2011,RU,P3733,Parka D,VO,ORD867530,298,RUB,18,R59
18.11.2009,26.11.2011,RU,P2387,Parka B,VO,ORD255716,117.36,EUR,23,R87
16.01.2011,06.01.2011,RU,P3375,Parka B,VO,ORD444619,253.03,EUR,6,R26
19.01.2010,12.10.2009,US,P1041,Parka B,VO,ORD688957,296.76,EUR,36,R11
03.04.2010,28.10.2011,RU,P3330,Parka A,VO,ORD494501,140.44,USD,44,R52
30.09.2010,27.03.2009,CN,P9581,Parka A,VO,ORD873554,160.85,RUB,32,R42
02.10.2009,09.05.2011,UK,P8363,Parka A,VO,ORD861547,76.78,USD,43,R45
01.04.2011,05.06.2011,RU,P2124,Parka B,VO,ORD617495,350.73,USD,30,R92
14.01.2010,30.03.2011,IT,P3405,Parka C,VO,ORD616730,216.91,USD,13,R72
08.12.2009,19.02.2011,RU,P2279,Parka D,VO,ORD775736,210.27,RUB,24,R36
25.12.2011,16.08.2011,DE,P4491,Parka D,VO,ORD348956,470.97,RUB,36,R19
21.01.2011,07.09.2010,US,P4206,Parka C,VO,ORD477135,447.05,EUR,11,R44
29.06.2009,14.12.2009,CN,P4820,Parka B,VO,ORD906366,446.9,USD,26,R22
08.12.2010,26.10.2010,ES,P5176,Parka A,VO,ORD354009,69.49,EUR,44,R77
05.08.2011,30.04.2010,DE,P9196,Parka B,VO,ORD766972,140.56,RUB,28,R12
01.03.2009,02.06.2009,DE,P9602,Parka D,VO,ORD235425,489.11,RUB,25,R14
26.02.2009,22.10.2010,DE,P1312,Parka B,VO,ORD824412,461.13,EUR,26,R34
04.10.2009,09.07.2011,UK,P2044,Parka D,VO,ORD405898,454.8,USD,36,R54
21.02.2010,11.06.2009,US,P3228,Parka B,VO,ORD764547,434.78,RUB,41,R72
04.11.2009,20.01.2012,FR,P6381,Parka A,VO,ORD170040,101.34,RUB,43,R4
16.07.2010,20.10.2009,CN,P2946,Parka D,VO,ORD821441,415.82,EUR,16,R86
07.07.2010,22.12.2011,DE,P8926,Parka C,VO,ORD821491,407.83,EUR,9,R24
03.05.2011,06.04.2012,ES,P1735,Parka B,VO,ORD574069,395.71,USD,25,R97
24.04.2010,19.11.2009,DE,P1490,Parka C,VO,ORD535865,356.2,EUR,17,R98
16.08.2009,09.02.2012,RU,P9058,Parka A,VO,ORD713847,323.52,EUR,50,R41
14.11.2011,29.10.2010,RU,P3307,Parka C,VO,ORD183144,445.68,RUB,5,R71
25.03.2011,21.02.2012,UK,P7654,Parka D,VO,ORD421446,52.07,RUB,37,R64
16.05.2010,19.01.2010,RU,P6511,Parka C,VO,ORD439564,57.99,RUB,17,R87
16.05.2010,15.08.2011,FR,P1777,Parka C,VO,ORD547511,174.59,EUR,43,R36
19.02.2010,12.09.2009,UK,P8344,Parka B,VO,ORD764698,192.79,RUB,48,R80
22.11.2009,12.05.2010,DE,P1357,Parka A,VO,ORD130940,110.11,RUB,34,R23
09.12.2011,26.06.2010,US,P6427,Parka C,VO,ORD843157,115.77,EUR,13,R9
28.10.2009,01.03.2012,RU,P5638,Parka D,VO,ORD281763,69.54,RUB,6,R35
04.12.2009,07.05.2011,US,P6486,Parka C,VO,ORD971922,233.54,RUB,38,R24
14.05.2010,10.11.2009,US,P1194,Parka D,VO,ORD833153,381.04,USD,3,R76
15.02.2009,19.07.2011,DE,P6021,Parka D,VO,ORD308966,346.69,USD,20,R86
26.11.2010,12.10.2011,ES,P6631,Parka C,VO,ORD967164,365.96,EUR,41,R88
18.09.2009,18.07.2011,UK,P1690,Parka C,VO,ORD539668,485.92,EUR,27,R4
15.02.2010,17.10.2009,ES,P7104,Parka C,VO,ORD774620,79.3,EUR,43,R38
05.06.2010,11.01.2012,RU,P3033,Parka C,VO,ORD606604,256.44,RUB,14,R79
23.07.2011,30.01.2010,ES,P5311,Parka B,VO,ORD752217,262.76,EUR,30,R74
03.04.2010,06.09.2010,RU,P6177,Parka D,VO,ORD582786,130.02,EUR,13,R54
29.06.2010,02.12.2009,FR,P3633,Parka D,VO,ORD813478,267.97,EUR,41,R34
06.12.2011,18.07.2009,ES,P5914,Parka B,VO,ORD649543,461.25,RUB,17,R96
28.11.2009,13.02.2011,FR,P2670,Parka D,VO,ORD736792,151.43,EUR,45,R57
25.06.2009,15.08.2009,FR,P4766,Parka B,VO,ORD803465,462.01,USD,42,R60
12.07.2011,14.04.2010,IT,P6234,Parka B,VO,ORD942238,158.35,USD,46,R39
07.05.2009,17.11.2010,ES,P8391,Parka B,VO,ORD635065,61.55,RUB,26,R11
10.09.2011,21.05.2011,IT,P4144,Parka D,VO,ORD564690,209.48,RUB,14,R1
14.10.2009,13.07.2009,CN,P5753,Parka D,VO,ORD559594,139.6,USD,37,R69
14.08.2011,18.08.2011,DE,P8579,Parka C,VO,ORD320182,410.9,USD,4,R60
13.07.2011,25.10.2011,RU,P6052,Parka B,VO,ORD101183,250.83,USD,27,R18
24.06.2010,04.11.2011,IT,P4462,Parka D,VO,ORD378664,199.94,EUR,47,R95
01.05.2009,23.12.2010,CN,P9349,Parka B,VO,ORD366473,123.8,EUR,26,R64
18.06.2010,06.07.2010,UK,P3937,Parka C,VO,ORD848990,357.49,RUB,20,R85
12.09.2009,18.01.2012,RU,P1345,Parka C,VO,ORD822070,485.21,USD,1,R6
22.09.2011,07.06.2011,US,P1514,Parka B,VO,ORD418412,104.83,RUB,49,R35
18.07.2009,14.09.2011,ES,P4687,Parka B,VO,ORD265515,194.59,RUB,7,R100
24.02.2011,25.05.2010,IT,P9877,Parka A,VO,ORD728920,66.96,EUR,23,R46
11.08.2009,26.12.2009,DE,P6854,Parka B,VO,ORD274925,152.56,EUR,41,R47
17.02.2011,25.09.2011,DE,P5910,Parka D,VO,ORD514644,401.8,USD,39,R91
04.04.2009,02.12.2009,DE,P5625,Parka A,VO,ORD711225,182.01,USD,27,R29
04.03.2011,23.01.2010,CN,P8528,Parka A,VO,ORD193691,328.26,EUR,15,R69
15.03.2011,28.08.2010,IT,P3819,Parka A,VO,ORD590195,362.81,RUB,30,R47
26.06.2009,16.03.2010,DE,P8226,Parka B,VO,ORD474436,96.21,RUB,24,R49
21.07.2009,09.09.2011,US,P4354,Parka C,VO,ORD672157,112.79,USD,36,R91
23.10.2009,16.05.2011,DE,P4161,Parka C,VO,ORD216637,454.1,EUR,38,R23
11.02.2011,15.06.2009,FR,P7710,Parka D,VO,ORD543667,472.26,USD,50,R46
08.10.2009,13.09.2011,US,P6952,Parka C,VO,ORD241340,119.34,RUB,34,R96
04.10.2009,04.10.2011,IT,P2678,Parka B,VO,ORD344088,127.26,USD,46,R6
30.06.2011,26.11.2011,US,P6356,Parka A,VO,ORD662903,473.39,USD,50,R4
04.06.2011,20.04.2009,US,P1824,Parka D,VO,ORD381366,369.7,USD,20,R66
03.03.2011,28.04.2009,US,P2666,Parka D,VO,ORD966172,65.55,USD,22,R5
25.08.2011,27.02.2012,US,P4356,Parka C,VO,ORD305903,310.98,EUR,42,R28
20.06.2010,06.02.2010,UK,P5904,Parka B,VO,ORD711062,329.47,RUB,33,R23
19.11.2011,05.07.2010,IT,P9765,Parka C,VO,ORD778709,269.95,RUB,21,R59
20.04.2011,19.08.2011,US,P2793,Parka B,VO,ORD185820,451.09,USD,17,R85
22.09.2009,30.10.2010,ES,P5525,Parka D,VO,ORD139441,95.62,USD,35,R24
22.06.2010,23.12.2011,UK,P2221,Parka C,VO,ORD173069,99.09,USD,9,R10
08.05.2011,18.03.2010,US,P7794,Parka C,VO,ORD117320,241.48,EUR,43,R45
27.06.2010,25.11.2011,ES,P7785,Parka B,VO,ORD255562,487,RUB,41,R31
18.08.2009,25.03.2009,RU,P7979,Parka B,VO,ORD947232,311.92,USD,47,R9
07.11.2009,24.02.2010,IT,P7465,Parka A,VO,ORD396366,293.18,EUR,24,R31
13.04.2009,25.08.2010,DE,P4667,Parka C,VO,ORD310494,185.69,RUB,20,R6
08.03.2011,24.06.2009,IT,P4056,Parka C,VO,ORD330197,140.51,RUB,11,R19
13.04.2009,20.12.2009,DE,P3345,Parka A,VO,ORD514179,313.45,EUR,44,R67
03.04.2009,27.08.2010,RU,P2342,Parka D,VO,ORD631517,151.11,USD,44,R69
06.08.2010,23.09.2011,FR,P1456,Parka B,VO,ORD741104,131.28,EUR,8,R32
21.06.2011,30.01.2012,UK,P9610,Parka D,VO,ORD764902,313.41,EUR,35,R89
19.01.2009,12.02.2010,UK,P8963,Parka A,VO,ORD376684,228.08,USD,26,R20
13.02.2009,19.05.2011,UK,P7407,Parka A,VO,ORD728641,195.68,RUB,50,R4
31.08.2011,06.10.2009,DE,P8962,Parka B,VO,ORD885832,479.59,EUR,1,R94
02.12.2010,17.06.2010,US,P5198,Parka B,VO,ORD239256,462.27,USD,42,R43
24.07.2009,27.08.2009,DE,P3809,Parka A,VO,ORD816205,268.15,RUB,6,R41
28.12.2010,18.04.2011,US,P5708,Parka D,VO,ORD295664,277.1,USD,29,R81
20.10.2011,16.02.2010,UK,P4532,Parka A,VO,ORD365008,158.25,RUB,37,R98
05.08.2009,18.09.2010,FR,P6816,Parka A,VO,ORD477730,331.78,RUB,8,R96
19.10.2009,28.11.2009,IT,P2736,Parka B,VO,ORD725104,227.23,RUB,16,R53
26.03.2009,22.08.2011,CN,P1673,Parka C,VO,ORD977670,400.23,RUB,26,R66
28.01.2009,02.04.2009,US,P7421,Parka D,VO,ORD373058,418.41,USD,28,R92
02.02.2011,22.04.2009,UK,P1437,Parka A,VO,ORD763482,140.01,EUR,24,R32
07.10.2010,14.06.2010,UK,P8974,Parka C,VO,ORD546410,189.06,USD,7,R30
06.04.2010,24.02.2012,UK,P4385,Parka B,VO,ORD436758,122.54,USD,6,R50
25.09.2009,15.05.2011,US,P7294,Parka D,VO,ORD549600,120.34,EUR,9,R97
21.10.2010,01.10.2011,RU,P6008,Parka C,VO,ORD761081,312.54,RUB,49,R9
24.11.2010,25.03.2010,UK,P8606,Parka A,VO,ORD183266,487.02,USD,19,R27
14.05.2010,12.09.2009,RU,P6974,Parka A,VO,ORD655397,225.71,RUB,13,R5
16.08.2010,25.11.2011,UK,P9796,Parka C,VO,ORD148907,373.05,RUB,46,R80
30.05.2011,25.02.2010,CN,P2757,Parka A,VO,ORD615130,93.74,RUB,33,R39
22.04.2011,22.11.2009,US,P7608,Parka A,VO,ORD995633,352.44,EUR,23,R63
21.02.2009,26.12.2011,IT,P1716,Parka D,VO,ORD181579,86.19,RUB,23,R61
19.09.2011,07.08.2009,FR,P6024,Parka B,VO,ORD330134,270.52,USD,19,R68
12.02.2009,21.01.2010,IT,P9395,Parka D,VO,ORD459625,443.95,RUB,3,R18
04.03.2010,06.10.2010,DE,P7947,Parka A,VO,ORD984090,361.23,EUR,50,R41
11.07.2011,03.02.2010,UK,P6022,Parka A,VO,ORD940835,180.44,USD,26,R61
24.06.2009,17.05.2011,UK,P2182,Parka C,VO,ORD741907,459.81,EUR,37,R7
10.04.2009,24.02.2011,RU,P3621,Parka D,VO,ORD711593,225.86,USD,28,R64
19.02.2011,13.02.2009,US,P2608,Parka B,VO,ORD402267,469.59,USD,28,R80
01.10.2010,31.10.2010,CN,P8465,Parka B,VO,ORD929249,123.14,RUB,15,R33
15.09.2009,31.03.2010,ES,P2964,Parka A,VO,ORD314322,373.98,USD,42,R56
16.04.2011,05.05.2011,US,P6340,Parka B,VO,ORD207632,87.68,USD,19,R82
20.01.2009,12.05.2010,CN,P6970,Parka A,VO,ORD585292,71.7,USD,15,R45
10.02.2009,11.02.2011,ES,P4104,Parka D,VO,ORD638863,307.33,RUB,37,R91
29.07.2010,21.01.2011,US,P3085,Parka A,VO,ORD270635,263.65,EUR,31,R67
05.05.2011,09.06.2009,IT,P4689,Parka B,VO,ORD228309,79.87,EUR,31,R83
11.09.2011,02.08.2011,CN,P5523,Parka C,VO,ORD993901,333.98,USD,35,R96
03.11.2010,23.05.2010,ES,P3749,Parka B,VO,ORD829302,493.38,RUB,20,R100
17.02.2010,06.09.2010,UK,P8927,Parka D,VO,ORD661722,348.53,USD,48,R25
13.05.2009,23.01.2011,CN,P6377,Parka B,VO,ORD957225,376.4,EUR,2,R82
10.03.2010,17.11.2009,UK,P2033,Parka C,VO,ORD603971,110.76,EUR,41,R64
29.01.2009,06.05.2010,UK,P3776,Parka C,VO,ORD608831,272.75,EUR,24,R3
22.08.2011,09.12.2011,CN,P7400,Parka A,VO,ORD101977,264.18,RUB,43,R33
04.12.2011,22.08.2011,ES,P2198,Parka C,VO,ORD655531,189.38,EUR,32,R38
28.07.2010,27.01.2010,US,P2254,Parka D,VO,ORD167529,84.22,EUR,35,R39
06.05.2011,23.10.2011,IT,P1312,Parka C,VO,ORD991994,304.52,EUR,21,R83
20.08.2011,29.12.2010,CN,P6917,Parka D,VO,ORD766582,401.06,RUB,5,R87
29.09.2010,25.06.2010,ES,P8080,Parka B,VO,ORD980278,189.26,USD,20,R51
22.08.2010,06.08.2010,ES,P3551,Parka D,VO,ORD760040,417.07,RUB,35,R74
16.02.2011,16.06.2011,CN,P6821,Parka A,VO,ORD568893,491.83,EUR,38,R86
21.06.2011,19.06.2009,UK,P9161,Parka A,VO,ORD517015,261.89,USD,21,R68
30.04.2010,12.01.2012,RU,P8110,Parka B,VO,ORD742871,266.81,USD,16,R40
26.06.2011,06.06.2009,DE,P4951,Parka C,VO,ORD478132,241.04,USD,45,R40
05.09.2009,04.01.2011,FR,P7760,Parka B,VO,ORD615457,296.41,EUR,25,R42
18.01.2011,21.01.2012,RU,P4830,Parka B,VO,ORD118547,142.79,RUB,39,R48
17.12.2009,07.02.2012,ES,P4401,Parka B,VO,ORD604386,461.57,RUB,26,R59
29.01.2010,16.10.2010,CN,P9552,Parka C,VO,ORD851332,207.09,RUB,8,R45
09.09.2010,03.07.2010,FR,P5670,Parka C,VO,ORD754709,247.72,RUB,32,R73
19.01.2009,04.07.2010,IT,P1462,Parka C,VO,ORD303829,147.34,EUR,7,R2
12.11.2010,07.03.2009,ES,P9300,Parka D,VO,ORD613175,468.5,RUB,15,R96
02.05.2009,17.06.2011,US,P6257,Parka A,VO,ORD517795,136.74,RUB,43,R76
24.05.2011,29.12.2009,ES,P9533,Parka A,VO,ORD621210,370.3,EUR,3,R64
30.03.2009,07.06.2011,FR,P5844,Parka A,VO,ORD823034,201.18,USD,39,R61
02.03.2011,04.12.2009,IT,P8401,Parka C,VO,ORD940424,98.42,EUR,27,R66
27.06.2009,04.11.2011,CN,P6224,Parka D,VO,ORD531385,184.42,EUR,25,R9
28.08.2009,10.06.2011,UK,P1705,Parka A,VO,ORD295615,449.72,USD,22,R49
27.04.2010,15.02.2010,CN,P7235,Parka A,VO,ORD516930,334.32,USD,2,R13
17.01.2010,16.10.2010,DE,P3162,Parka A,VO,ORD980196,52.73,USD,32,R62
04.12.2010,12.12.2010,UK,P7868,Parka C,VO,ORD682079,150.61,RUB,6,R87
26.06.2010,19.01.2012,ES,P5208,Parka D,VO,ORD875060,170.36,EUR,39,R73
04.12.2009,18.06.2010,ES,P7366,Parka B,VO,ORD810328,256.73,EUR,49,R61
15.12.2011,12.10.2011,RU,P1635,Parka D,VO,ORD356908,364.06,RUB,49,R34
21.12.2011,23.09.2010,IT,P2134,Parka B,VO,ORD403425,257.71,RUB,15,R100
06.01.2010,08.06.2011,DE,P6547,Parka D,VO,ORD453850,356.8,RUB,14,R86
03.04.2011,08.07.2010,US,P6886,Parka C,VO,ORD751179,64.77,USD,16,R40
04.08.2010,15.09.2010,FR,P6376,Parka C,VO,ORD107468,78.68,RUB,19,R45
25.02.2009,20.07.2010,RU,P5890,Parka B,VO,ORD743084,372.55,USD,23,R8
13.02.2010,19.02.2010,ES,P9016,Parka A,VO,ORD695198,265.37,USD,47,R70
24.04.2009,09.08.2010,ES,P1365,Parka C,VO,ORD334165,229.71,RUB,10,R72
13.10.2010,30.06.2011,CN,P1587,Parka D,VO,ORD267287,201.27,RUB,10,R100
30.06.2010,22.12.2010,CN,P8415,Parka A,VO,ORD327600,277.2,EUR,23,R70
06.04.2011,07.02.2010,UK,P1503,Parka B,VO,ORD326006,304.73,EUR,16,R98
28.08.2011,02.08.2010,IT,P3668,Parka C,VO,ORD942226,249.75,RUB,12,R67
06.02.2011,07.07.2009,IT,P1251,Parka B,VO,ORD750218,207.37,EUR,40,R20
12.05.2010,10.07.2010,RU,P4129,Parka B,VO,ORD250018,426.46,USD,25,R95
17.12.2010,11.05.2011,US,P2916,Parka B,VO,ORD797886,299.94,EUR,31,R47
16.07.2010,03.07.2009,DE,P1813,Parka C,VO,ORD277859,351.7,RUB,30,R70
17.06.2010,13.09.2009,US,P4739,Parka C,VO,ORD260597,369.84,RUB,50,R84
18.02.2009,11.07.2011,IT,P9376,Parka D,VO,ORD517472,270.47,RUB,18,R51
05.08.2011,17.09.2010,IT,P9176,Parka A,VO,ORD165168,200.07,USD,34,R46
11.01.2009,21.12.2010,FR,P1636,Parka B,VO,ORD867256,304.4,USD,29,R54
02.07.2010,08.01.2011,FR,P3024,Parka B,VO,ORD357219,237.11,USD,21,R46
18.02.2009,07.08.2010,IT,P6806,Parka B,VO,ORD686656,190.12,USD,29,R24
18.10.2010,07.09.2010,FR,P8388,Parka A,VO,ORD343012,451.42,USD,14,R57
12.06.2010,02.04.2011,IT,P1945,Parka B,VO,ORD860009,369.78,USD,10,R91
16.03.2010,04.11.2009,IT,P2931,Parka C,VO,ORD293708,183.04,USD,2,R28
24.05.2011,30.08.2011,DE,P2829,Parka B,VO,ORD891788,357.62,RUB,50,R13
09.06.2011,31.01.2012,IT,P4292,Parka A,VO,ORD711854,58.65,RUB,49,R3
01.12.2009,18.04.2009,DE,P4374,Parka D,VO,ORD888710,144.5,RUB,40,R77
13.01.2010,20.04.2011,US,P4088,Parka A,VO,ORD361643,54.4,USD,27,R65
17.05.2011,08.03.2011,RU,P8656,Parka A,VO,ORD564038,300.68,RUB,9,R7
03.09.2010,21.10.2009,CN,P1826,Parka A,VO,ORD427897,237.65,EUR,17,R53
15.01.2011,04.10.2009,US,P2269,Parka C,VO,ORD555347,142.14,EUR,38,R88
04.10.2009,20.09.2011,DE,P7779,Parka D,VO,ORD430986,107.98,USD,25,R74
13.08.2010,12.12.2011,CN,P9316,Parka B,VO,ORD808964,234.17,RUB,46,R79
30.12.2011,27.10.2009,IT,P7598,Parka D,VO,ORD412269,482.13,USD,42,R75
26.05.2011,28.01.2012,RU,P2885,Parka D,VO,ORD171520,179.33,EUR,40,R98
25.12.2010,26.04.2010,IT,P3473,Parka A,VO,ORD685986,94.97,EUR,43,R99
23.08.2011,19.04.2011,US,P9009,Parka B,VO,ORD705396,309.63,EUR,43,R97
09.10.2011,12.10.2010,UK,P9899,Parka D,VO,ORD562141,146.64,EUR,50,R94
23.05.2011,28.10.2010,ES,P3526,Parka A,VO,ORD688981,255.34,USD,2,R59
29.03.2011,13.11.2009,CN,P2315,Parka D,VO,ORD956994,366.19,EUR,35,R98
18.04.2010,13.11.2009,US,P2561,Parka A,VO,ORD150245,499.84,RUB,42,R32
28.08.2011,05.10.2011,FR,P5532,Parka A,VO,ORD632145,330.41,USD,47,R39
20.12.2010,13.10.2009,CN,P6295,Parka A,VO,ORD593144,249.78,EUR,2,R18
07.10.2010,12.06.2009,RU,P1740,Parka C,VO,ORD801973,171.04,EUR,7,R74
12.11.2011,05.05.2009,US,P5825,Parka C,VO,ORD805491,172.89,RUB,17,R4
04.05.2011,02.09.2011,DE,P6599,Parka A,VO,ORD686756,430.77,EUR,45,R81
31.12.2009,19.10.2009,CN,P6250,Parka A,VO,ORD437478,347.33,RUB,27,R58
09.09.2011,17.11.2011,CN,P8245,Parka A,VO,ORD941771,490.75,RUB,42,R32
13.11.2010,01.01.2011,FR,P3681,Parka B,VO,ORD701057,221.13,RUB,44,R44
22.04.2009,11.03.2010,CN,P2165,Parka D,VO,ORD695607,336.96,EUR,21,R32
04.06.2011,05.11.2011,ES,P2724,Parka D,VO,ORD187528,123.58,USD,43,R91
11.01.2009,16.08.2011,UK,P1361,Parka D,VO,ORD570660,435.25,RUB,36,R78
22.03.2009,30.06.2010,IT,P1295,Parka B,VO,ORD303530,190.08,RUB,31,R62
06.02.2009,29.06.2009,RU,P6978,Parka B,VO,ORD714693,98.23,RUB,14,R42
24.11.2009,29.05.2010,IT,P9612,Parka D,VO,ORD426407,137.46,RUB,30,R97
21.12.2009,23.03.2012,ES,P3426,Parka A,VO,ORD248237,184.84,RUB,17,R13
05.04.2010,22.03.2010,RU,P4139,Parka A,VO,ORD616570,370.46,EUR,28,R43
05.08.2009,04.02.2012,DE,P6229,Parka B,VO,ORD848656,80.03,USD,47,R39
08.12.2011,03.05.2010,UK,P4421,Parka D,VO,ORD837681,429.77,RUB,39,R12
04.12.2009,05.04.2010,US,P7066,Parka A,VO,ORD206411,246.16,EUR,29,R26
18.06.2009,06.10.2010,RU,P2301,Parka D,VO,ORD345619,74.85,RUB,25,R10
22.09.2011,24.09.2011,UK,P7203,Parka D,VO,ORD401747,94,EUR,17,R5
01.03.2009,28.03.2011,RU,P9863,Parka A,VO,ORD244127,388.59,EUR,2,R81
20.09.2009,06.10.2009,FR,P8000,Parka B,VO,ORD969599,490.58,EUR,9,R85
16.11.2011,23.11.2009,US,P5669,Parka B,VO,ORD773399,392.39,EUR,30,R9
25.03.2009,23.03.2012,UK,P3528,Parka D,VO,ORD492201,126.83,EUR,22,R18
15.07.2010,10.01.2012,RU,P4393,Parka B,VO,ORD515534,68.1,RUB,47,R94
20.11.2011,31.01.2012,IT,P5301,Parka B,VO,ORD986598,364.86,USD,40,R66
28.09.2010,08.09.2011,ES,P1032,Parka B,VO,ORD693200,494.61,EUR,38,R36
01.02.2009,12.05.2012,UK,P8288,Parka C,VO,ORD776891,126.7,RUB,26,R18
05.02.2010,15.12.2010,IT,P2926,Parka C,VO,ORD566491,75.32,EUR,2,R86
27.12.2011,05.10.2010,DE,P8190,Parka B,VO,ORD554945,95.29,RUB,17,R46
01.11.2010,05.03.2010,RU,P7523,Parka B,VO,ORD818355,210.73,EUR,25,R75
16.10.2009,21.11.2010,UK,P3528,Parka A,VO,ORD583714,446.38,EUR,23,R59
26.02.2010,21.03.2012,ES,P8942,Parka B,VO,ORD808975,87.6,EUR,39,R99
03.12.2009,25.03.2010,IT,P6834,Parka B,VO,ORD991213,97.73,EUR,23,R32
24.10.2010,20.08.2010,US,P5901,Parka D,VO,ORD415792,404.22,EUR,13,R83
