Month,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
May,Ford,Urban,0,0,3,Male,Married,29,Policy Holder,Sport - Collision,Utility,more than 69000,18055,8,700,2,15 to 30,none,1,more than 7,36 to 40,No,No,Internal,3 to 5,1 year,5 to 8,Liability
Aug,Mercury,Rural,Tuesday,0,1,Male,Divorced,25,Policy Holder,Sport - Collision,Utility,less than 20000,52081,6,300,1,more than 30,none,1,new,36 to 40,No,Yes,Internal,none,no change,more than 8,Liability
Mar,VW,Urban,Monday,Apr,2,Female,Widow,60,Policy Holder,Utility - Collision,Utility,60000 to 69000,65285,9,700,2,1 to 7,8 to 15,1,new,16 to 17,No,No,Internal,3 to 5,1 year,5 to 8,All Perils
Sep,Saturn,Urban,Monday,May,2,Female,Married,36,Policy Holder,Sedan - All Perils,Sport,30000 to 39000,53538,5,400,4,1 to 7,none,none,4 years,over 65,No,No,Internal,1 to 2,1 year,2 vehicles,All Perils
Mar,Toyota,Urban,Saturday,Sep,5,Female,Single,44,Third Party,Sedan - Liability,Utility,less than 20000,17788,1,700,2,more than 30,8 to 15,2 to 4,new,51 to 65,Yes,Yes,External,none,under 6 months,5 to 8,Liability
Dec,Nisson,Urban,Friday,0,3,Male,Widow,70,Policy Holder,Sport - Liability,Utility,40000 to 59000,18485,2,500,2,more than 30,8 to 15,more than 4,7 years,18 to 20,Yes,Yes,External,1 to 2,2 to 3 years,more than 8,Collision
May,Lexus,Rural,Monday,Aug,4,Female,Single,32,Policy Holder,Utility - Liability,Sedan,40000 to 59000,74506,7,700,3,8 to 15,15 to 30,1,2 years,21 to 25,Yes,Yes,External,more than 5,4 to 8 years,2 vehicles,Liability
Oct,Jaguar,Urban,Wednesday,Jan,3,Female,Divorced,22,Policy Holder,Sedan - All Perils,Sport,60000 to 69000,41157,8,500,4,none,none,2 to 4,more than 7,31 to 35,No,Yes,External,more than 5,4 to 8 years,3 to 4,Collision
Oct,Jaguar,Urban,Thursday,Feb,1,Male,Single,34,Third Party,Utility - Liability,Sedan,40000 to 59000,24285,9,500,2,none,15 to 30,2 to 4,new,21 to 25,Yes,No,External,more than 5,1 year,2 vehicles,All Perils
Mar,Ford,Rural,Sunday,0,3,Female,Widow,70,Policy Holder,Sport - Liability,Utility,less than 20000,62170,6,700,1,more than 30,more than 30,more than 4,4 years,16 to 17,Yes,No,External,none,2 to 3 years,more than 8,Collision
Jun,Mazda,Rural,Sunday,Feb,1,Male,Single,79,Third Party,Sport - Liability,Sport,60000 to 69000,95946,3,500,2,more than 30,none,2 to 4,3 years,41 to 50,Yes,Yes,External,3 to 5,4 to 8 years,3 to 4,All Perils
Jul,Toyota,Urban,Sunday,Apr,1,Male,Divorced,21,Third Party,Sedan - Collision,Utility,less than 20000,40666,7,700,3,none,8 to 15,2 to 4,4 years,36 to 40,Yes,Yes,External,more than 5,4 to 8 years,2 vehicles,Collision
Nov,Porche,Rural,Thursday,Dec,4,Male,Married,80,Third Party,Sport - Collision,Utility,more than 69000,91928,6,300,4,1 to 7,more than 30,none,2 years,31 to 35,No,Yes,Internal,more than 5,4 to 8 years,5 to 8,All Perils
Mar,Mazda,Urban,Sunday,Jul,3,Male,Divorced,21,Policy Holder,Sport - All Perils,Sport,40000 to 59000,32710,4,300,4,1 to 7,8 to 15,more than 4,more than 7,41 to 50,No,No,External,1 to 2,2 to 3 years,2 vehicles,All Perils
Nov,Porche,Rural,Saturday,Aug,2,Male,Married,49,Policy Holder,Utility - All Perils,Utility,less than 20000,13974,5,500,2,none,none,2 to 4,5 years,41 to 50,No,No,Internal,1 to 2,1 year,3 to 4,Collision
Jul,VW,Rural,Saturday,Aug,4,Female,Single,49,Policy Holder,Utility - Collision,Sport,30000 to 39000,36433,4,300,1,15 to 30,more than 30,1,new,16 to 17,Yes,No,External,more than 5,4 to 8 years,3 to 4,Liability
Sep,Ford,Urban,Wednesday,Jan,3,Female,Single,75,Policy Holder,Sedan - Liability,Sedan,40000 to 59000,19428,4,700,1,none,more than 30,1,6 years,18 to 20,No,Yes,External,more than 5,no change,5 to 8,Liability
Dec,Toyota,Rural,Monday,Jun,3,Female,Widow,30,Policy Holder,Sport - Liability,Sedan,more than 69000,70621,8,400,1,15 to 30,none,1,6 years,51 to 65,Yes,No,External,more than 5,4 to 8 years,2 vehicles,All Perils
Jun,Pontiac,Rural,0,Jun,5,Male,Married,35,Third Party,Sedan - Collision,Utility,30000 to 39000,87146,9,700,3,more than 30,8 to 15,more than 4,5 years,26 to 30,No,Yes,Internal,none,no change,2 vehicles,Collision
Jul,Pontiac,Rural,Wednesday,Nov,5,Male,Divorced,78,Third Party,Sedan - All Perils,Sedan,more than 69000,58421,7,700,1,15 to 30,more than 30,more than 4,6 years,over 65,No,Yes,Internal,more than 5,4 to 8 years,2 vehicles,Liability
May,Nisson,Rural,Tuesday,May,4,Male,Single,75,Policy Holder,Sedan - All Perils,Sport,40000 to 59000,58236,2,500,3,15 to 30,8 to 15,2 to 4,more than 7,18 to 20,Yes,Yes,Internal,more than 5,4 to 8 years,1 vehicle,Liability
Feb,VW,Urban,Sunday,Jul,4,Male,Single,24,Third Party,Sedan - Collision,Sport,more than 69000,95090,6,300,3,1 to 7,more than 30,more than 4,2 years,36 to 40,No,Yes,External,more than 5,no change,1 vehicle,Liability
Dec,Dodge,Urban,Wednesday,Nov,5,Female,Widow,62,Third Party,Sedan - Collision,Sport,60000 to 69000,22066,1,400,4,8 to 15,none,more than 4,3 years,16 to 17,Yes,No,External,1 to 2,under 6 months,1 vehicle,Liability
Nov,BMW,Rural,Wednesday,Dec,2,Female,Single,22,Policy Holder,Sport - All Perils,Utility,30000 to 39000,16426,8,500,4,more than 30,15 to 30,none,7 years,18 to 20,No,No,External,1 to 2,2 to 3 years,1 vehicle,All Perils
Oct,Mercury,Urban,0,Feb,5,Female,Married,27,Policy Holder,Utility - All Perils,Utility,less than 20000,16627,5,700,4,8 to 15,15 to 30,more than 4,4 years,18 to 20,Yes,No,Internal,more than 5,2 to 3 years,5 to 8,Liability
Dec,Saab,Rural,Wednesday,Jul,1,Female,Married,43,Policy Holder,Sedan - Liability,Sport,more than 69000,96812,5,300,4,8 to 15,8 to 15,2 to 4,7 years,26 to 30,Yes,No,Internal,more than 5,under 6 months,1 vehicle,Collision
Dec,Pontiac,Rural,Thursday,Aug,5,Female,Single,53,Policy Holder,Sedan - Collision,Sport,more than 69000,58378,4,400,3,1 to 7,15 to 30,2 to 4,2 years,over 65,Yes,Yes,External,none,1 year,5 to 8,All Perils
Jul,Ford,Rural,Sunday,Feb,5,Female,Divorced,50,Third Party,Sport - All Perils,Sedan,40000 to 59000,79213,9,700,4,8 to 15,8 to 15,more than 4,3 years,51 to 65,No,Yes,Internal,none,2 to 3 years,5 to 8,Collision
Jul,Pontiac,Rural,0,May,4,Female,Divorced,35,Third Party,Sport - Collision,Utility,more than 69000,52846,6,500,1,8 to 15,more than 30,more than 4,new,51 to 65,No,No,Internal,3 to 5,1 year,5 to 8,All Perils
Oct,Saab,Urban,Monday,Sep,3,Female,Widow,47,Policy Holder,Sedan - All Perils,Utility,60000 to 69000,41551,7,700,1,1 to 7,none,1,new,31 to 35,Yes,Yes,External,1 to 2,2 to 3 years,2 vehicles,Liability
Jun,Saab,Urban,Monday,Jan,2,Female,Divorced,73,Policy Holder,Utility - Liability,Sedan,60000 to 69000,12896,2,300,1,more than 30,none,2 to 4,2 years,31 to 35,No,Yes,Internal,none,under 6 months,5 to 8,Liability
Jan,Nisson,Rural,Thursday,Sep,4,Female,Single,75,Policy Holder,Sport - All Perils,Utility,less than 20000,32376,5,500,2,1 to 7,more than 30,none,more than 7,21 to 25,No,Yes,Internal,none,4 to 8 years,2 vehicles,Liability
Jul,Saab,Rural,0,Dec,3,Male,Divorced,73,Policy Holder,Sport - Collision,Sedan,more than 69000,18665,4,700,4,more than 30,none,none,7 years,18 to 20,Yes,No,Internal,more than 5,2 to 3 years,1 vehicle,All Perils
Aug,Accura,Rural,Friday,Jul,1,Male,Single,29,Policy Holder,Sport - Collision,Utility,30000 to 39000,85178,1,400,1,8 to 15,15 to 30,more than 4,2 years,51 to 65,No,No,Internal,3 to 5,under 6 months,more than 8,All Perils
Nov,Lexus,Urban,Thursday,Jul,1,Female,Married,18,Third Party,Sedan - All Perils,Sport,less than 20000,33034,3,400,4,more than 30,15 to 30,1,4 years,31 to 35,Yes,Yes,Internal,3 to 5,2 to 3 years,5 to 8,Liability
Feb,Porche,Rural,Sunday,0,1,Male,Widow,42,Third Party,Sport - Liability,Sedan,40000 to 59000,17021,8,300,4,8 to 15,15 to 30,1,3 years,26 to 30,Yes,No,Internal,3 to 5,4 to 8 years,1 vehicle,Collision
Feb,BMW,Rural,0,Jun,2,Female,Single,34,Third Party,Sedan - Collision,Utility,less than 20000,54298,8,700,2,15 to 30,more than 30,2 to 4,5 years,21 to 25,No,No,External,3 to 5,no change,3 to 4,Liability
Jul,Accura,Rural,0,Nov,3,Male,Divorced,57,Policy Holder,Sport - Collision,Sedan,30000 to 39000,67339,5,500,3,1 to 7,none,none,new,16 to 17,Yes,Yes,External,3 to 5,no change,more than 8,All Perils
Apr,Pontiac,Urban,Tuesday,Feb,1,Male,Married,70,Third Party,Sport - Collision,Sedan,20000 to 29000,46936,3,400,1,1 to 7,more than 30,none,7 years,41 to 50,No,No,External,more than 5,1 year,more than 8,All Perils
Oct,Mazda,Urban,Saturday,Sep,3,Female,Divorced,76,Policy Holder,Utility - All Perils,Utility,40000 to 59000,94089,5,700,2,15 to 30,none,more than 4,new,41 to 50,Yes,Yes,External,3 to 5,no change,3 to 4,Collision
Jan,Chevrolet,Rural,Friday,Dec,4,Female,Single,45,Third Party,Utility - Liability,Utility,more than 69000,29439,9,300,3,8 to 15,8 to 15,2 to 4,5 years,41 to 50,No,Yes,Internal,more than 5,under 6 months,more than 8,All Perils
Feb,Nisson,Urban,Wednesday,Feb,1,Male,Widow,55,Policy Holder,Utility - Collision,Sport,40000 to 59000,18140,1,300,2,more than 30,more than 30,more than 4,3 years,21 to 25,Yes,Yes,External,more than 5,under 6 months,more than 8,Collision
Dec,Chevrolet,Urban,0,Jun,1,Male,Divorced,73,Third Party,Utility - Liability,Sedan,less than 20000,33610,5,300,2,more than 30,more than 30,1,more than 7,21 to 25,No,Yes,External,3 to 5,4 to 8 years,1 vehicle,All Perils
Jun,Porche,Urban,Sunday,Mar,1,Female,Single,53,Third Party,Utility - All Perils,Utility,40000 to 59000,99828,6,500,3,1 to 7,15 to 30,2 to 4,7 years,51 to 65,Yes,No,External,none,no change,2 vehicles,All Perils
Jul,Lexus,Rural,Tuesday,Oct,4,Female,Widow,64,Third Party,Utility - Liability,Sport,60000 to 69000,42667,8,300,3,1 to 7,8 to 15,2 to 4,4 years,36 to 40,Yes,Yes,External,more than 5,1 year,5 to 8,All Perils
Mar,Ford,Urban,Saturday,Dec,2,Female,Divorced,65,Policy Holder,Sedan - Collision,Utility,20000 to 29000,40605,6,700,1,8 to 15,8 to 15,none,4 years,16 to 17,No,Yes,External,none,2 to 3 years,5 to 8,All Perils
Oct,Accura,Rural,Friday,May,4,Female,Married,62,Policy Holder,Utility - Collision,Sedan,60000 to 69000,43954,7,400,1,1 to 7,8 to 15,none,more than 7,21 to 25,No,No,Internal,more than 5,4 to 8 years,1 vehicle,Liability
Nov,Nisson,Urban,Saturday,Mar,4,Male,Single,27,Third Party,Sport - Liability,Sport,less than 20000,72557,4,700,4,none,more than 30,more than 4,3 years,51 to 65,Yes,No,External,more than 5,no change,1 vehicle,Liability
Jul,Pontiac,Urban,Wednesday,Aug,2,Male,Divorced,78,Policy Holder,Sport - Liability,Utility,40000 to 59000,98075,2,500,2,1 to 7,8 to 15,2 to 4,7 years,26 to 30,Yes,Yes,External,none,2 to 3 years,3 to 4,Liability
Jan,Nisson,Urban,Thursday,0,4,Male,Single,22,Third Party,Sport - Liability,Sedan,30000 to 39000,29734,2,400,1,1 to 7,more than 30,2 to 4,4 years,36 to 40,No,Yes,External,none,1 year,2 vehicles,All Perils
Aug,Saab,Rural,Thursday,Dec,2,Male,Single,80,Policy Holder,Utility - All Perils,Sedan,less than 20000,91071,8,300,2,1 to 7,more than 30,more than 4,6 years,51 to 65,Yes,Yes,Internal,more than 5,2 to 3 years,more than 8,Liability
Aug,Pontiac,Rural,Thursday,May,5,Female,Divorced,36,Third Party,Sedan - Collision,Sport,more than 69000,20009,4,300,2,1 to 7,15 to 30,1,new,18 to 20,No,Yes,External,more than 5,under 6 months,more than 8,Liability
Feb,VW,Rural,0,Mar,4,Female,Married,61,Policy Holder,Utility - Liability,Sport,60000 to 69000,37509,1,300,4,more than 30,15 to 30,more than 4,3 years,16 to 17,No,Yes,External,3 to 5,under 6 months,5 to 8,All Perils
Dec,Toyota,Rural,Monday,Feb,2,Female,Single,32,Third Party,Utility - Collision,Sport,more than 69000,70781,1,400,2,1 to 7,none,none,7 years,over 65,Yes,Yes,External,3 to 5,no change,3 to 4,Liability
Jun,BMW,Urban,Saturday,Dec,5,Male,Married,24,Policy Holder,Sport - Collision,Utility,less than 20000,52047,4,300,4,more than 30,more than 30,1,3 years,18 to 20,Yes,Yes,External,none,no change,3 to 4,All Perils
Jun,Toyota,Urban,Monday,Feb,2,Female,Single,79,Third Party,Utility - Liability,Utility,60000 to 69000,47721,1,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,under 6 months,1 vehicle,Liability
Feb,Ferrari,Urban,Thursday,May,5,Male,Widow,76,Policy Holder,Sport - All Perils,Sport,30000 to 39000,30866,9,300,4,none,more than 30,none,6 years,16 to 17,Yes,Yes,External,1 to 2,4 to 8 years,2 vehicles,All Perils
Feb,Ford,Urban,Monday,Apr,4,Male,Single,19,Third Party,Sport - Collision,Sport,more than 69000,49028,1,400,3,1 to 7,more than 30,more than 4,more than 7,16 to 17,Yes,Yes,Internal,more than 5,2 to 3 years,3 to 4,All Perils
Sep,Toyota,Urban,Saturday,Oct,5,Female,Married,25,Third Party,Sedan - Liability,Sedan,more than 69000,15211,1,700,4,more than 30,15 to 30,1,4 years,51 to 65,No,No,Internal,more than 5,under 6 months,1 vehicle,Liability
Feb,Mazda,Urban,Wednesday,Sep,4,Male,Married,68,Third Party,Utility - Collision,Sedan,less than 20000,11123,1,400,1,none,more than 30,2 to 4,3 years,36 to 40,No,No,Internal,none,2 to 3 years,3 to 4,Collision
Dec,Saturn,Rural,Friday,Oct,3,Female,Divorced,80,Policy Holder,Sport - Liability,Sedan,20000 to 29000,77014,7,400,2,1 to 7,more than 30,none,5 years,36 to 40,No,Yes,External,3 to 5,no change,5 to 8,Liability
Oct,Jaguar,Rural,Sunday,0,2,Female,Divorced,18,Policy Holder,Sedan - Liability,Sport,30000 to 39000,85440,4,400,2,1 to 7,none,1,6 years,31 to 35,No,No,Internal,none,2 to 3 years,more than 8,Collision
